#,Name,Team,ESPN,Y!,$,G,PA,AB,R,HR,RBI,SB,CS,H,1B,2B,3B,TB,SO,BB,HBP,AVG,OBP,SLG,OPS,Own%,RazzID
477,Dylan Carlson,CHC,OF,OF,-32.2,40,99,86,11,2,10,1,0,19,13,4,0,31,24,10,1,0.225,0.315,0.357,0.672,0,666185
478,Jared Young,NYM,DH,1B,-32.2,38,111,98,13,4,13,1,0,23,15,5,1,40,27,11,2,0.238,0.320,0.406,0.725,0,676724
479,Jhostynxon Garcia,PIT,OF,OF,-32.2,37,100,92,11,3,11,1,0,21,14,4,1,34,27,6,1,0.228,0.282,0.366,0.648,0,691373
480,Jeimer Candelario,LAA,3B,1B/3B,-32.3,37,116,105,12,3,12,1,0,22,13,5,0,37,34,9,2,0.206,0.275,0.349,0.624,0,13621
481,Ryan Kreidler,MIN,OF,OF,-32.3,45,113,99,12,2,10,3,1,19,13,4,0,31,36,12,1,0.196,0.286,0.314,0.601,0,668952
482,Juan Brito,CLE,2B,2B,-32.3,39,106,93,11,2,10,1,0,21,14,5,0,33,22,11,1,0.226,0.312,0.358,0.670,0,682877
483,Christian Encarnacion-Strand,BAL,1B,1B/3B,-32.4,30,77,71,9,3,10,0,0,17,10,3,0,30,21,4,1,0.238,0.284,0.417,0.701,0,687952
484,Aidan Miller,PHI,SS,SS,-32.4,33,83,72,9,2,8,4,1,16,11,4,0,25,22,9,1,0.222,0.310,0.343,0.652,0,805795
485,Andrew Knizner,COL,C,C,-32.5,27,65,58,8,1,7,0,0,14,10,3,0,21,13,5,1,0.241,0.313,0.368,0.681,0,668800
486,John Rave,KC,OF,OF,-32.5,32,82,73,9,2,9,3,1,17,11,3,0,27,21,8,1,0.227,0.302,0.367,0.669,0,670231
487,Orlando Arcia,MIN,2B/SS/ 3B,2B/SS/ 3B,-32.6,36,94,85,10,2,10,1,0,19,13,4,0,31,21,7,1,0.227,0.288,0.361,0.649,0,13185
488,Sam Huff,FA,C,C,-32.6,33,85,77,9,2,8,0,0,16,10,3,0,26,30,6,1,0.201,0.261,0.334,0.595,0,669087
489,Orelvis Martinez,WSH,2B,2B,-32.7,39,103,92,11,3,11,1,0,19,11,4,0,33,29,8,1,0.201,0.274,0.360,0.634,0,682619
490,Jhonny Pereda,SEA,C,C,-32.8,33,75,66,8,1,7,0,0,15,11,3,0,22,19,8,1,0.233,0.314,0.331,0.645,0,640902
491,Jared Oliva,SF,OF,OF,-32.8,30,72,66,8,1,7,5,1,15,10,3,1,22,17,5,1,0.226,0.285,0.338,0.623,0,666931
492,Daniel Johnson,HOU,OF,OF,-32.8,33,83,76,9,2,9,2,1,17,11,4,0,28,21,5,1,0.226,0.277,0.371,0.648,0,669288
493,Ryan Ward,LAD,OF,OF,-32.8,26,77,70,9,3,9,1,0,15,9,3,0,28,20,6,0,0.221,0.285,0.399,0.684,0,669899
494,Patrick Wisdom,SEA,1B,1B,-32.9,30,73,65,9,4,10,1,0,13,7,2,0,27,25,6,1,0.198,0.274,0.419,0.693,0,13602
495,James Triantos,CHC,2B,2B,-32.9,30,76,70,8,1,7,3,1,17,13,3,0,24,12,4,1,0.246,0.291,0.344,0.635,0,701649
496,Cesar Salazar,HOU,C,C,-33.0,32,78,68,9,2,7,1,0,14,9,3,0,21,18,7,2,0.201,0.294,0.313,0.607,0,663967
497,Gabriel Gonzalez,MIN,OF,OF,-33.0,31,78,71,9,2,9,1,0,18,12,4,0,28,15,5,1,0.248,0.303,0.387,0.691,0,694224
498,Eric Haase,SF,C,C,-33.1,33,74,68,8,2,7,1,0,14,10,3,0,22,24,5,1,0.207,0.265,0.331,0.596,0,606992
499,Chas McCormick,CHC,OF,OF,-33.1,30,75,66,9,2,8,2,1,15,11,3,0,24,20,7,1,0.228,0.306,0.361,0.667,0,676801
500,Korey Lee,CHW,C,C,-33.1,26,63,58,6,2,7,1,0,12,8,2,0,20,18,4,1,0.207,0.257,0.344,0.601,0,686676
501,Kristian Campbell,BOS,2B,2B/OF,-33.1,32,82,71,9,2,8,1,0,17,12,3,0,26,22,9,1,0.244,0.331,0.369,0.699,0,692225
502,Sebastian Rivero,LAA,C,C,-33.2,33,76,71,7,1,7,1,0,15,11,3,0,23,17,4,1,0.218,0.261,0.326,0.587,0,665861
503,Nicky Lopez,CHC,3B,2B/SS,-33.2,42,102,91,11,0,8,2,1,22,17,4,1,28,17,9,1,0.244,0.317,0.312,0.629,0,670032
504,Kyren Paris,LAA,OF,2B/OF,-33.2,32,80,70,9,2,8,3,1,14,9,3,1,24,26,8,1,0.202,0.287,0.346,0.633,0,677347
505,Jarred Kelenic,CHW,OF,OF,-33.3,33,76,68,9,2,8,2,1,15,9,3,0,26,23,7,0,0.215,0.286,0.374,0.660,0,672284
506,Shay Whitcomb,HOU,2B,2B/3B,-33.3,33,75,68,8,3,9,2,1,15,9,3,0,26,23,5,1,0.213,0.274,0.373,0.647,0,694376
507,Luke Maile,KC,C,C,-33.4,26,64,56,7,1,6,1,0,12,9,3,0,19,18,6,1,0.220,0.305,0.332,0.637,0,13355
508,Weston Wilson,BAL,OF,2B/OF,-33.4,32,73,65,8,2,8,2,1,14,9,3,0,24,21,7,1,0.218,0.296,0.365,0.661,0,642215
509,Chadwick Tromp,ATL,C,C,-33.5,31,76,69,8,2,7,1,0,14,10,3,0,22,20,6,1,0.204,0.266,0.315,0.582,0,644433
510,Oswaldo Cabrera,NYY,3B,3B,-33.5,31,78,70,9,2,8,1,0,16,11,3,0,26,18,7,1,0.228,0.297,0.369,0.666,0,665828
511,Jose Miranda,SD,3B,1B/3B,-33.5,32,80,74,9,2,9,0,0,18,12,3,0,28,16,5,1,0.239,0.289,0.378,0.667,0,669304
512,Jonathon Long,CHC,1B,1B,-33.5,30,77,68,9,2,8,0,0,17,12,3,0,26,18,7,1,0.245,0.323,0.378,0.701,0,675085
513,Emmanuel Rodriguez,MIN,OF,OF,-33.5,32,82,68,10,2,8,2,1,14,9,3,0,24,28,12,1,0.207,0.332,0.353,0.686,0,691181
514,Kyle Farmer,ATL,2B,2B,-33.6,41,94,86,10,2,9,1,0,19,13,4,0,29,22,6,1,0.225,0.284,0.342,0.626,0,14813
